discount_id,sls_ord_num
D003,SO43697
D005,SO43698
D004,SO43699
D002,SO43700
D002,SO43701
D003,SO43702
D001,SO43703
D001,SO43704
D004,SO43705
D004,SO43706
D002,SO43707
D001,SO43708
D005,SO43709
D004,SO43710
D005,SO43711
D005,SO43712
D003,SO43713
D002,SO43714
D002,SO43715
D003,SO43716
D002,SO43717
D002,SO43718
D004,SO43719
D003,SO43720
D004,SO43721
D003,SO43722
D001,SO43723
D003,SO43724
D003,SO43725
D002,SO43726
D001,SO43727
D003,SO43728
D005,SO43729
D005,SO43730
D004,SO43731
D003,SO43732
D004,SO43733
D001,SO43734
D005,SO43735
D002,SO43736
D005,SO43737
D005,SO43738
D004,SO43739
D002,SO43740
D004,SO43741
D005,SO43742
D003,SO43743
D001,SO43744
D004,SO43745
D001,SO43746
D004,SO43747
D004,SO43748
D002,SO43749
D001,SO43750
D002,SO43751
D001,SO43752
D005,SO43753
D003,SO43754
D002,SO43755
D005,SO43756
D002,SO43757
D004,SO43758
D002,SO43759
D002,SO43760
D004,SO43761
D004,SO43762
D002,SO43763
D003,SO43764
D004,SO43765
D003,SO43766
D002,SO43767
D004,SO43768
D002,SO43769
D001,SO43770
D002,SO43771
D001,SO43772
D003,SO43773
D002,SO43774
D002,SO43775
D004,SO43776
D003,SO43777
D001,SO43778
D001,SO43779
D002,SO43780
D003,SO43781
D001,SO43782
D004,SO43783
D002,SO43784
D005,SO43785
D003,SO43786
D005,SO43787
D005,SO43788
D003,SO43789
D004,SO43790
D003,SO43791
D002,SO43792
D002,SO43793
D004,SO43794
D005,SO43795
D001,SO43796
D004,SO43797
D003,SO43798
D003,SO43799
D004,SO43800
D005,SO43801
D004,SO43802
D004,SO43803
D004,SO43804
D001,SO43805
D002,SO43806
D001,SO43807
D002,SO43808
D002,SO43809
D003,SO43810
D001,SO43811
D002,SO43812
D003,SO43813
D002,SO43814
D003,SO43815
D002,SO43816
D004,SO43817
D004,SO43818
D001,SO43819
D001,SO43820
D004,SO43821
D001,SO43822
D005,SO43823
D004,SO43824
D003,SO43825
D003,SO43826
D005,SO43827
D001,SO43828
D004,SO43829
D002,SO43830
D003,SO43831
D003,SO43832
D002,SO43833
D004,SO43834
D005,SO43835
D001,SO43836
D003,SO43837
D003,SO43838
D004,SO43839
D001,SO43840
D001,SO43841
D001,SO43842
D001,SO43918
D001,SO43919
D004,SO43920
D001,SO43921
D005,SO43922
D005,SO43923
D002,SO43924
D003,SO43925
D003,SO43926
D003,SO43927
D004,SO43928
D001,SO43929
D001,SO43930
D004,SO43931
D005,SO43932
D004,SO43933
D001,SO43934
D003,SO43935
D004,SO43936
D002,SO43937
D005,SO43938
D001,SO43939
D005,SO43940
D004,SO43941
D002,SO43942
D005,SO43943
D001,SO43944
D004,SO43945
D003,SO43946
D001,SO43947
