salesperson_id,sls_ord_num
SP005,SO43697
SP007,SO43698
SP009,SO43699
SP004,SO43700
SP005,SO43701
SP009,SO43702
SP003,SO43703
SP007,SO43704
SP003,SO43705
SP001,SO43706
SP001,SO43707
SP002,SO43708
SP002,SO43709
SP007,SO43710
SP010,SO43711
SP007,SO43712
SP001,SO43713
SP004,SO43714
SP007,SO43715
SP002,SO43716
SP001,SO43717
SP009,SO43718
SP005,SO43719
SP004,SO43720
SP008,SO43721
SP010,SO43722
SP008,SO43723
SP005,SO43724
SP005,SO43725
SP007,SO43726
SP004,SO43727
SP008,SO43728
SP004,SO43729
SP004,SO43730
SP004,SO43731
SP004,SO43732
SP001,SO43733
SP002,SO43734
SP007,SO43735
SP002,SO43736
SP010,SO43737
SP002,SO43738
SP007,SO43739
SP005,SO43740
SP008,SO43741
SP007,SO43742
SP005,SO43743
SP001,SO43744
SP007,SO43745
SP005,SO43746
SP006,SO43747
SP002,SO43748
SP004,SO43749
SP001,SO43750
SP008,SO43751
SP009,SO43752
SP004,SO43753
SP009,SO43754
SP003,SO43755
SP009,SO43756
SP006,SO43757
SP010,SO43758
SP009,SO43759
SP004,SO43760
SP005,SO43761
SP004,SO43762
SP010,SO43763
SP005,SO43764
SP003,SO43765
SP005,SO43766
SP009,SO43767
SP002,SO43768
SP003,SO43769
SP009,SO43770
SP001,SO43771
SP007,SO43772
SP010,SO43773
SP003,SO43774
SP005,SO43775
SP007,SO43776
SP003,SO43777
SP010,SO43778
SP001,SO43779
SP003,SO43780
SP007,SO43781
SP009,SO43782
SP010,SO43783
SP005,SO43784
SP002,SO43785
SP006,SO43786
SP006,SO43787
SP010,SO43788
SP008,SO43789
SP003,SO43790
SP005,SO43791
SP010,SO43792
SP007,SO43793
SP005,SO43794
SP006,SO43795
SP007,SO43796
SP006,SO43797
SP003,SO43798
SP006,SO43799
SP004,SO43800
SP001,SO43801
SP010,SO43802
SP006,SO43803
SP005,SO43804
SP001,SO43805
SP002,SO43806
SP006,SO43807
SP003,SO43808
SP005,SO43809
SP009,SO43810
SP002,SO43811
SP005,SO43812
SP009,SO43813
SP008,SO43814
SP008,SO43815
SP004,SO43816
SP004,SO43817
SP003,SO43818
SP004,SO43819
SP009,SO43820
SP005,SO43821
